Date,Open,High,Low,Close,Volume
2020-03-02,293.77,308.77,293.13,308.61,278446400
2020-03-03,308.41,310.21,299.53,300.81,254968400
2020-03-04,308.05,311.89,305.33,309.37,211138400
2020-03-05,303.65,307.29,298.61,303.45,214484000
2020-03-06,292.97,297.25,288.97,289.09,252496800
2020-03-09,277.57,281.65,273.65,277.01,294056800
2020-03-10,285.89,290.97,282.57,290.85,247366800
2020-03-11,283.41,285.65,278.85,279.21,256112400
2020-03-12,262.85,270.09,259.85,260.61,362884400
2020-03-13,273.65,285.13,273.33,277.17,323426400
2020-03-16,254.49,258.09,252.25,252.41,304068800
2020-03-17,255.57,268.05,253.65,262.21,298550800
2020-03-18,250.65,256.09,246.69,247.85,315900000
2020-03-19,243.49,248.89,237.57,243.25,292738000
2020-03-20,239.25,247.01,234.73,239.57,331052400
2020-03-23,230.05,236.97,228.61,228.61,299808800
2020-03-24,246.69,254.85,245.21,246.93,277942800
2020-03-25,250.61,253.89,245.49,247.77,242690800
2020-03-26,257.69,262.93,256.41,262.37,227162400
2020-03-27,256.25,258.09,252.93,253.21,221468800
2020-03-30,258.33,264.05,257.77,254.89,201806800
2020-03-31,252.73,256.81,252.17,256.09,193648000
2020-04-01,247.61,252.69,245.93,246.05,193436000
2020-04-02,248.29,255.09,247.81,254.45,172732400
2020-04-03,256.57,257.09,250.37,251.21,172290800
2020-04-06,265.41,271.33,264.93,270.69,205910000
2020-04-07,277.13,281.41,275.45,280.41,195530000
2020-04-08,283.09,285.17,281.65,284.01,166292800
2020-04-09,287.85,288.05,283.73,287.05,177224000
2020-04-13,281.97,286.13,278.09,278.93,177030400
2020-04-14,283.49,289.25,282.29,288.65,163472800
2020-04-15,285.01,285.45,280.13,280.25,152152400
2020-04-16,282.61,284.89,281.21,284.37,162316400
2020-04-17,288.89,294.05,288.69,293.57,208138800
2020-04-20,286.09,286.49,281.53,281.61,154566400
2020-04-21,279.33,281.97,275.53,275.77,175960000
2020-04-22,282.09,285.81,281.53,283.77,132876400
2020-04-23,283.77,286.09,283.05,284.69,115288000
2020-04-24,285.77,288.05,284.25,286.93,134564000
2020-04-27,288.09,291.53,287.81,291.45,128022000
2020-04-28,291.77,294.05,291.05,293.41,126676400
2020-04-29,295.05,297.53,293.45,295.53,171248400
2020-04-30,289.33,294.49,288.65,293.57,202095600
2020-05-01,286.69,289.45,284.13,288.25,165760800
2020-05-04,289.05,293.21,288.45,292.73,117492800
2020-05-05,292.25,293.05,290.29,292.05,105276000
2020-05-06,291.77,295.25,291.33,295.09,107552800
2020-05-07,296.73,298.41,295.61,297.69,111148800
2020-05-08,299.37,300.29,297.93,299.77,104160800
2020-05-11,298.37,299.13,295.85,296.29,97248000
2020-05-12,293.65,295.37,290.53,291.13,119540000
2020-05-13,287.45,290.93,283.85,284.85,146444800
2020-05-14,284.81,288.41,283.41,283.89,116616000
2020-05-15,286.73,289.69,285.25,289.13,104876400
2020-05-18,295.53,298.93,295.05,298.69,127752400
2020-05-19,299.37,300.13,297.65,298.25,98696800
2020-05-20,300.05,302.21,299.33,302.13,103764000
2020-05-21,300.77,302.17,299.37,299.73,88084800
2020-05-22,301.25,302.17,300.49,301.37,74476000
2020-05-26,303.77,305.29,302.97,305.21,95636400
2020-05-27,306.53,307.65,303.17,303.65,104636800
2020-05-28,305.21,308.01,304.37,306.65,103920000
2020-05-29,305.21,306.45,303.05,303.81,111664800
2020-06-01,304.37,307.69,304.17,306.93,96728800
2020-06-02,308.21,310.89,307.85,310.57,100980400
2020-06-03,313.37,315.17,312.49,314.33,118012800
2020-06-04,313.93,314.41,309.89,311.41,102104400
2020-06-05,315.53,321.57,315.33,320.89,141976800
2020-06-08,323.53,324.85,321.29,322.93,119660000
2020-06-09,323.21,325.21,320.73,321.09,105764000
2020-06-10,321.85,324.53,318.09,318.73,128680000
2020-06-11,310.81,315.25,304.05,304.69,178492000
2020-06-12,308.93,315.29,307.57,314.85,142456000
2020-06-15,312.69,317.05,310.25,315.93,135316400
2020-06-16,320.45,321.77,317.97,320.65,110740400
2020-06-17,320.85,321.49,319.29,320.05,84716800
2020-06-18,320.01,320.41,317.41,318.09,88108400
2020-06-19,320.13,321.93,318.29,318.61,185348400
2020-06-22,320.85,323.69,320.09,323.45,89176400
2020-06-23,322.45,323.69,320.61,320.77,90012400
2020-06-24,316.45,318.93,312.77,314.09,136512800
2020-06-25,316.09,318.85,315.93,318.37,92460400
2020-06-26,311.73,315.37,308.65,309.85,143252800
2020-06-29,312.89,315.01,312.57,314.29,93212400
2020-06-30,314.69,316.69,313.53,314.25,104096000
2020-07-01,316.17,317.69,315.81,316.81,87184000
2020-07-02,318.33,320.17,317.85,319.45,81064000
2020-07-06,322.85,325.65,322.85,325.21,105544400
2020-07-07,326.09,326.49,323.73,324.57,93876000
2020-07-08,327.53,328.85,325.97,326.45,90868000
2020-07-09,328.97,329.45,327.29,328.53,77056000
2020-07-10,329.89,330.53,328.85,329.05,75312400
2020-07-13,327.65,330.93,326.33,329.41,95176000
2020-07-14,324.57,327.65,321.37,322.53,117392400
2020-07-15,323.53,326.61,322.89,325.45,94876800
2020-07-16,326.89,327.73,325.45,326.53,84460800
2020-07-17,326.69,326.97,324.49,325.09,81776800
2020-07-20,327.85,330.53,327.73,330.37,88116400
2020-07-21,332.17,333.57,329.53,329.73,117832000
2020-07-22,330.29,332.21,329.25,331.01,95656400
2020-07-23,328.33,330.05,325.09,325.81,120492800
2020-07-24,323.21,326.33,321.09,322.61,116168800
2020-07-27,324.93,327.73,324.33,327.21,97180800
2020-07-28,327.93,329.97,327.37,329.21,88568400
2020-07-29,329.45,330.49,328.25,330.17,87428800
2020-07-30,330.61,331.49,328.29,328.33,98208400
2020-07-31,329.81,334.17,328.81,333.69,143348000
2020-08-03,335.25,337.93,335.01,337.45,108028400
2020-08-04,339.09,339.93,337.21,338.41,108616400
2020-08-05,339.89,340.93,339.09,340.45,94056400
2020-08-06,341.65,344.33,341.41,343.69,109528400
2020-08-07,343.61,345.57,342.89,344.37,89840400
2020-08-10,345.49,346.01,344.29,344.93,76908800
2020-08-11,343.57,344.21,339.37,339.49,96928400
2020-08-12,343.21,345.73,342.41,344.53,92040000
2020-08-13,344.69,345.61,344.05,344.37,77104800
2020-08-14,344.53,345.29,343.41,344.97,68384800
2020-08-17,346.01,347.21,345.29,346.41,72868800
2020-08-18,346.41,348.97,346.05,348.61,95560000
2020-08-19,349.49,350.45,347.93,348.05,95364400
2020-08-20,349.45,350.93,349.17,350.21,83644400
2020-08-21,351.45,353.41,350.41,353.01,111216400
2020-08-24,354.21,355.69,353.61,355.17,88464000
2020-08-25,356.01,356.97,354.77,355.97,82172000
2020-08-26,357.69,358.25,356.73,357.73,84088000
2020-08-27,360.49,361.45,359.17,360.77,116964400
2020-08-28,361.37,361.81,360.17,361.45,82320000
2020-08-31,361.81,363.97,361.69,363.89,125532400
2020-09-01,363.97,365.01,362.93,364.93,104992800
2020-09-02,367.73,369.53,366.57,368.77,155884000
2020-09-03,363.49,364.45,355.37,355.77,173612400
2020-09-04,349.93,355.29,343.01,345.73,207652400
2020-09-08,339.05,344.45,334.85,335.37,196804800
2020-09-09,345.01,348.65,341.73,348.37,158420000
2020-09-10,347.13,349.21,344.69,346.05,126400800
2020-09-11,344.89,347.69,343.89,344.09,107232400
2020-09-14,349.33,350.41,347.77,350.13,102784400
2020-09-15,350.85,351.37,349.17,350.85,82428800
2020-09-16,351.33,352.81,350.37,351.77,98748800
2020-09-17,350.69,351.01,348.13,348.97,94364000
2020-09-18,348.45,349.85,346.89,347.37,130424400
2020-09-21,342.93,344.61,335.93,336.21,149000400
2020-09-22,339.45,341.37,337.45,338.05,116044400
2020-09-23,334.53,338.85,330.69,331.61,147116400
2020-09-24,330.73,335.85,328.85,330.05,149464400
2020-09-25,334.37,339.05,333.61,338.97,130788000
2020-09-28,342.17,343.73,340.49,343.45,118808000
2020-09-29,342.93,343.73,341.29,342.61,92376000
2020-09-30,341.89,343.37,339.37,339.45,124302000
2020-10-01,340.69,343.45,340.33,343.21,108940800
2020-10-02,341.17,342.37,337.81,338.21,126194000
2020-10-05,342.21,345.81,341.93,345.33,106420800
2020-10-06,343.65,345.37,340.37,341.21,117674800
2020-10-07,344.61,347.37,344.41,347.05,102672800
2020-10-08,349.97,352.13,349.21,351.89,102956400
2020-10-09,352.89,354.53,352.13,353.61,90504000
2020-10-12,357.21,359.97,356.93,359.49,133860000
2020-10-13,358.69,359.13,355.73,357.41,101660400
2020-10-14,356.25,357.65,354.41,355.05,98908000
2020-10-15,354.49,355.73,352.61,353.25,98592400
2020-10-16,354.85,356.61,354.09,355.73,86016000
2020-10-19,356.85,357.85,355.89,356.77,78644000
2020-10-20,357.05,357.77,355.61,356.77,77028000
2020-10-21,355.45,357.77,352.61,353.29,103672800
2020-10-22,353.93,355.13,352.53,354.49,82780400
2020-10-23,354.77,356.01,353.37,354.09,86208400
2020-10-26,353.25,354.65,348.13,348.89,120792800
2020-10-27,349.57,351.73,348.49,349.05,103036800
2020-10-28,342.53,345.85,336.61,337.01,166598800
2020-10-29,339.69,342.61,338.33,340.05,116124400
2020-10-30,336.01,340.65,333.57,334.37,142668000
2020-11-02,340.09,345.73,339.37,345.69,128076800
2020-11-03,349.37,353.81,348.69,353.57,138904000
2020-11-04,355.85,361.53,355.29,360.81,166348400
2020-11-05,363.77,364.85,361.97,364.49,107352800
2020-11-06,365.73,367.89,364.85,367.61,103512400
2020-11-09,373.01,374.61,370.93,374.05,141540400
2020-11-10,372.69,373.65,369.77,370.29,113344000
2020-11-11,373.45,374.85,372.49,373.97,90504800
2020-11-12,372.93,373.57,369.37,370.09,104980800
2020-11-13,371.53,373.29,370.21,372.17,90560400
2020-11-16,375.85,377.73,374.93,376.81,121432400
2020-11-17,376.69,377.53,374.93,375.25,86884800
2020-11-18,375.33,376.77,374.25,374.81,80728000
2020-11-19,374.49,375.49,372.69,373.37,83908800
2020-11-20,372.21,373.13,369.85,370.53,103312800
2020-11-23,371.73,374.21,371.57,373.73,83192000
2020-11-24,375.09,377.21,374.69,376.61,108916000
2020-11-25,377.53,378.13,376.25,377.37,76372000
2020-11-27,378.13,378.61,377.41,378.13,47128000
2020-11-30,377.57,379.69,372.73,373.37,127364000
2020-12-01,377.37,380.33,376.65,379.61,109844400
2020-12-02,380.25,380.45,377.93,380.05,88892000
2020-12-03,380.93,382.61,379.53,380.81,97456000
2020-12-04,381.93,383.01,379.77,381.69,105712400
2020-12-07,382.09,384.41,381.81,383.93,92936000
2020-12-08,384.37,385.13,383.61,384.61,84012000
2020-12-09,385.73 ,388.45,385.41,387.33,121044800
2020-12-10,387.53,388.09,385.61,386.13,99396000
2020-12-11,385.45,386.61,383.85,384.17,103808000
2020-12-14,385.81,388.41,385.29,387.65,99092000
2020-12-15,388.97,389.37,387.13,388.09,100092000
2020-12-16,388.53,390.61,388.21,390.41,164512000
2020-12-17,391.29,391.69,389.33,389.61,103752000
2020-12-18,390.45,391.93,387.97,388.09,202892400
2020-12-21,385.93,389.89,384.81,389.69,165804000
2020-12-22,390.97,392.13,390.05,391.37,96832000
2020-12-23,392.09,393.37,391.53,392.61,72804000
2020-12-24,392.77,393.53,392.13,392.97,44056000
2020-12-28,393.81,395.01,392.53,393.69,73700000
2020-12-29,393.97,394.45,392.17,392.37,76164000
2020-12-30,393.25,393.57,391.29,391.73,77862000
2020-12-31,392.17,393.25,391.81,391.93,79942000
2021-01-04,393.45,395.65,391.65,394.93,108488400
2021-01-05,395.21,396.45,393.77,395.21,88112800
2021-01-06,395.81,398.97,393.97,398.09,127924000
2021-01-07,399.81,400.45,397.77,399.65,109508400
2021-01-08,400.85,403.65,400.09,403.29,137956400
2021-01-11,402.89,403.57,401.01,401.33,98260000
2021-01-12,402.41,403.09,401.05,402.17,88548000
2021-01-13,403.49,405.01,402.53,404.13,99804000
2021-01-14,405.13,405.65,402.49,403.57,99380000
2021-01-15,403.97,404.97,401.37,401.93,114776000
2021-01-19,404.85,405.45,402.85,405.21,93428000
2021-01-20,406.97,408.45,405.97,407.93,122148000
2021-01-21,408.65,409.13,405.93,406.13,106248400
2021-01-22,405.65,407.13,403.53,404.25,99212000
2021-01-25,404.77,407.53,402.97,405.25,102192000
2021-01-26,406.01,406.41,402.61,403.61,104052000
2021-01-27,403.65,406.61,397.25,397.73,140512800
2021-01-28,398.41,400.49,395.77,400.09,111020800
2021-01-29,397.69,402.33,393.45,397.33,156236000
2021-02-01,403.21,405.69,402.49,404.65,109284000
2021-02-02,405.97,406.85,404.57,406.61,87172000
2021-02-03,407.09,407.61,405.49,406.41,82508000
2021-02-04,408.69,410.21,407.73,409.93,94308000
2021-02-05,410.73,412.29,409.85,411.77,99276000
2021-02-08,412.33,413.25,411.29,412.25,81284000
2021-02-09,413.41,414.13,412.33,413.37,79928000
2021-02-10,413.65,414.65,412.17,413.17,82204000
2021-02-11,414.21,415.33,413.73,414.97,78288000
2021-02-12,415.49,416.25,414.65,415.85,77396000
2021-02-16,416.41,417.61,415.77,416.17,80892000
2021-02-17,416.09,417.25,413.09,414.01,98272000
2021-02-18,414.17,414.89,412.49,413.13,91860000
2021-02-19,414.13,415.37,411.89,412.41,98316000
2021-02-22,410.53,412.09,406.53,407.89,114456000
2021-02-23,406.17,408.93,401.73,402.65,119496000
2021-02-24,405.53,407.53,404.45,406.93,93196000
2021-02-25,402.89,406.89,393.49,394.89,162312000
2021-02-26,394.49,399.41,391.25,395.57,150100000
2021-03-01,397.61,402.05,397.53,401.53,107696000
2021-03-02,402.93,403.65,400.65,401.49,94960000
2021-03-03,403.21,403.65,397.77,398.69,115800000
2021-03-04,392.93,399.85,387.17,391.25,153236000
2021-03-05,388.01,395.21,386.61,393.57,137524000
2021-03-08,392.57,393.85,387.85,388.65,122276000
2021-03-09,394.41,397.97,394.13,397.69,101384000
2021-03-10,398.61,399.65,396.89,398.89,95748000
2021-03-11,403.05,405.41,402.17,404.89,102120000
2021-03-12,405.69,406.57,403.69,404.77,96508000
2021-03-15,407.05,408.33,405.69,407.85,92012000
2021-03-16,408.49,409.65,406.73,407.29,105728000
2021-03-17,407.85,409.97,406.21,406.25,112044000
2021-03-18,405.53,407.13,402.37,403.17,119180000
2021-03-19,403.57,405.29,400.25,401.41,175748400
2021-03-22,403.93,408.05,403.81,407.21,94520000
2021-03-23,407.29,408.65,405.73,406.53,95144000
2021-03-24,406.89,409.81,404.69,408.21,110308000
2021-03-25,407.29,409.69,404.21,405.37,113864000
2021-03-26,406.69,409.29,405.33,408.77,99420000
2021-03-29,411.21,412.09,409.97,411.69,87092000
2021-03-30,411.49,411.85,409.93,410.57,83544000
2021-03-31,410.49,412.53,409.97,411.81,107096000
2021-04-01,412.81,415.89,412.73,415.45,100312000
2021-04-05,416.61,419.05,416.57,418.61,101080000
2021-04-06,419.37,420.13,418.61,419.61,86636000
2021-04-07,420.77,421.45,419.89,420.77,82228000
2021-04-08,421.73,422.29,420.65,421.89,81768000
2021-04-09,422.37,424.21,422.13,423.85,89816000
2021-04-12,424.45,425.45,423.33,424.53,82764000
2021-04-13,425.65,426.21,424.05,424.45,91684000
2021-04-14,425.45,426.77,424.85,426.45,80964000
2021-04-15,426.89,427.53,425.77,427.37,83620000
2021-04-16,427.61,428.13,426.25,427.49,86908000
2021-04-19,428.09,428.69,426.53,427.89,74072000
2021-04-20,428.45,429.61,427.69,428.77,76952000
2021-04-21,429.53,430.85,428.89,429.53,87728000
2021-04-22,430.05,430.49,428.57,429.37,78116000
2021-04-23,430.37,431.69,429.85,431.05,76716000
2021-04-26,431.97,432.93,431.25,432.29,76564000
2021-04-27,432.53,432.89,430.93,431.25,81328000
2021-04-28,432.17,433.57,431.25,432.49,84696000
2021-04-29,431.61,432.81,427.89,428.25,106568000
2021-04-30,429.09,430.61,428.61,429.93,91868000
2021-05-03,430.61,431.41,429.61,430.97,78188000
2021-05-04,430.49,431.53,427.93,428.09,92876000
2021-05-05,428.85,429.89,427.93,429.61,78504000
2021-05-06,430.77,431.89,430.25,431.37,76904000
2021-05-07,432.57,433.69,431.53,432.81,91612000
2021-05-10,433.09,434.61,431.85,432.33,82228000
2021-05-11,431.33,432.89,426.33,427.29,103800000
2021-05-12,422.65,427.13,418.89,421.65,124504000
2021-05-13,426.53,429.97,425.69,429.09,115184000
2021-05-14,430.21,431.85,429.65,431.01,87284000
2021-05-17,432.41,433.09,430.69,432.29,76060000
2021-05-18,431.21,432.17,428.85,429.93,83060000
2021-05-19,427.41,428.89,423.49,424.69,107340000
2021-05-20,424.45,427.53,423.97,427.21,88660000
2021-05-21,428.13,429.37,427.33,428.41,71012000
2021-05-24,429.53,430.41,428.53,429.81,67944000
2021-05-25,430.53,431.25,429.53,430.25,72144000
2021-05-26,431.09,432.29,430.41,431.69,70668000
2021-05-27,432.21,432.97,431.33,432.13,72260000
2021-05-28,432.97,433.57,431.89,432.97,68012000
2021-06-01,433.49,434.41,432.89,433.93,76020000
2021-06-02,434.53,435.09,433.73,434.89,69540000
2021-06-03,434.49,435.37,432.65,434.05,76564000
2021-06-04,433.17,434.29,429.61,430.01,94620000
2021-06-07,431.53,433.21,431.37,432.97,72092000
2021-06-08,433.25,434.25,432.85,433.89,66280000
2021-06-09,434.21,434.61,433.13,434.01,61184000
2021-06-10,434.49,435.33,433.25,434.37,71712000
2021-06-11,435.45,436.13,434.97,435.85,66044000
2021-06-14,436.21,437.09,435.65,436.29,66600000
2021-06-15,436.93,437.05,435.25,436.21,75616000
2021-06-16,435.93,436.25,432.89,433.81,123516000
2021-06-17,433.93,434.89,432.85,433.57,85292000
2021-06-18,430.97,433.01,428.85,429.13,145820000
2021-06-21,432.09,434.49,431.97,434.17,82644000
2021-06-22,435.01,436.09,434.57,435.77,71044000
2021-06-23,436.29,437.21,435.81,436.89,68472000
2021-06-24,437.85,438.85,437.21,438.49,78364000
2021-06-25,438.93,439.81,438.29,439.01,63724000
2021-06-28,439.41,440.13,438.41,439.57,61852000
2021-06-29,439.97,440.37,438.45,438.93,63884000
2021-06-30,439.89,440.65,438.97,439.97,82472000
2021-07-01,440.81,441.61,439.85,441.21,66196000
2021-07-02,442.13,442.85,441.17,442.41,54596000
2021-07-06,443.29,444.73,442.97,444.41,69200000
2021-07-07,444.37,444.93,443.49,444.69,60320000
2021-07-08,443.85,444.97,442.17,442.49,74156000
2021-07-09,443.73,444.33,442.61,443.89,56836000
2021-07-12,445.61,446.21,444.89,445.97,63288000
2021-07-13,445.69,446.69,444.61,445.53,69184000
2021-07-14,447.13,447.57,445.93,447.05,72504000
2021-07-15,446.49,447.33,445.77,446.73,67648000
2021-07-16,446.49,447.53,445.93,446.25,65856000
2021-07-19,442.21,444.33,439.37,439.93,114416000
2021-07-20,441.77,444.85,440.97,444.17,78768000
2021-07-21,445.17,446.89,444.21,446.41,74564000
2021-07-22,446.93,447.69,445.97,447.33,64336000
2021-07-23,447.49,448.17,446.93,447.73,58056000
2021-07-26,447.69,449.61,447.37,449.29,64204000
2021-07-27,449.61,449.73,447.01,447.61,86344000
2021-07-28,448.37,448.77,446.97,447.97,65188000
2021-07-29,448.93,449.53,448.13,448.89,59084000
2021-07-30,449.61,449.77,447.73,448.61,68424000
2021-08-02,449.93,450.45,449.29,450.21,58032000
2021-08-03,450.57,451.25,449.93,450.49,58208000
2021-08-04,451.17,451.81,450.45,451.21,61372000
2021-08-05,451.65,452.17,450.97,451.93,57412000
2021-08-06,452.25,452.65,451.53,452.41,53348000
2021-08-09,452.33,453.25,451.73,452.49,52572000
2021-08-10,452.93,453.41,451.93,452.17,62588000
2021-08-11,452.81,453.09,451.89,452.77,53720000
2021-08-12,453.33,453.77,452.41,453.09,56820000
2021-08-13,453.73,454.21,453.25,453.77,50076000
2021-08-16,454.25,454.49,453.33,454.09,52396000
2021-08-17,453.61,454.09,452.89,453.57,59896000
2021-08-18,452.81,453.05,449.73,450.05,82192000
2021-08-19,449.29,450.49,446.77,447.05,92352000
2021-08-20,447.85,448.73,446.49,447.53,65152000
2021-08-23,449.21,450.85,448.93,450.73,53328000
2021-08-24,451.37,451.77,450.45,451.53,50820000
2021-08-25,452.13,452.65,451.17,451.85,50076000
2021-08-26,452.53,453.21,451.93,452.81,47420000
2021-08-27,453.85,454.69,453.33,454.53,54356000
2021-08-30,455.13,455.61,454.45,455.29,50400000
2021-08-31,455.45,455.81,454.69,455.45,68808000
2021-09-01,455.89,456.85,455.65,456.61,57720000
2021-09-02,457.37,458.21,456.97,457.89,62844000
2021-09-03,458.53,458.89,457.61,458.13,55916000
2021-09-07,458.77,459.73,457.77,458.17,61748000
2021-09-08,458.13,458.49,456.69,457.13,55876000
2021-09-09,457.85,458.89,456.81,458.53,61312000
2021-09-10,458.61,459.13,457.53,458.17,54516000
2021-09-13,459.09,460.17,458.73,459.61,59492000
2021-09-14,460.01,460.45,459.05,459.81,56312000
2021-09-15,460.45,460.77,459.61,460.29,65052000
2021-09-16,459.93,460.13,458.49,459.05,69968000
2021-09-17,458.25,458.97,455.45,455.85,157484400
2021-09-20,451.21,453.05,446.09,446.73,120472000
2021-09-21,448.53,451.37,448.29,451.05,72824000
2021-09-22,451.37,453.05,450.85,452.49,74848000
2021-09-23,451.49,453.37,450.69,452.13,64896000
2021-09-24,452.65,453.53,451.53,453.21,62560000
2021-09-27,452.33,453.53,451.65,452.73,56372000
2021-09-28,451.61,453.61,448.17,449.29,85784000
2021-09-29,449.81,451.93,448.61,451.61,77812000
2021-09-30,450.93,452.69,449.17,449.45,92548000
2021-10-01,450.25,452.13,449.85,451.89,67964000
2021-10-04,449.45,451.77,446.25,447.37,94052000
2021-10-05,449.09,451.57,448.73,451.25,67520000
2021-10-06,450.97,453.65,450.37,453.21,66220000
2021-10-07,453.29,454.89,452.89,454.29,60476000
2021-10-08,454.53,455.33,453.97,454.81,51344000
2021-10-11,455.33,456.05,454.69,455.61,49492000
2021-10-12,456.85,458.37,456.29,457.61,60944000
2021-10-13,457.77,458.33,456.93,457.93,56420000
2021-10-14,458.37,458.93,457.33,458.45,56400000
2021-10-15,459.09,460.29,458.33,459.89,67100000
2021-10-18,460.93,462.13,460.65,461.85,62940000
2021-10-19,462.21,462.73,461.45,462.29,56916000
2021-10-20,462.85,463.53,462.17,462.89,59464000
2021-10-21,463.73,464.37,462.97,463.65,59072000
2021-10-22,464.05,465.37,463.93,465.01,63324000
2021-10-25,465.81,466.77,464.77,465.81,62284000
2021-10-26,466.05,467.49,465.69,467.09,60060000
2021-10-27,467.13,467.57,465.65,466.49,61896000
2021-10-28,465.77,467.85,464.81,467.21,72900000
2021-10-29,467.57,468.25,466.17,467.29,70064000
2021-11-01,467.69,468.41,467.21,467.97,61320000
2021-11-02,468.29,469.45,467.93,469.25,61412000
2021-11-03,470.65,472.05,470.05,471.73,72720000
2021-11-04,472.09,472.49,471.25,472.05,58424000
2021-11-05,472.69,473.17,471.85,472.65,56636000
2021-11-08,472.89,473.49,472.21,473.25,50912000
2021-11-09,473.29,473.61,471.77,472.41,56468000
2021-11-10,471.57,471.85,468.85,469.25,76232000
2021-11-11,470.41,471.05,469.81,470.65,59116000
2021-11-12,469.97,470.61,468.45,469.33,62416000
2021-11-15,471.13,472.37,470.85,471.85,59008000
2021-11-16,471.81,472.81,469.53,469.77,72576000
2021-11-17,469.93,470.45,468.69,470.09,62060000
2021-11-18,470.65,471.29,468.77,469.81,63280000
2021-11-19,467.89,470.05,464.93,465.33,86340000
2021-11-22,466.73,468.69,466.49,468.09,54288000
2021-11-23,468.85,469.61,467.97,469.21,50424000
2021-11-24,469.89,470.73,469.41,470.29,38208000
2021-11-26,468.65,470.81,466.73,468.65,52076000
2021-11-29,470.53,471.61,469.85,471.17,56308000
2021-11-30,467.01,469.89,462.61,463.49,94824000
2021-12-01,464.65,467.73,462.25,465.81,88812000
2021-12-02,467.85,469.57,466.81,468.33,75608000
2021-12-03,465.97,470.81,463.49,469.65,91692000
2021-12-06,466.97,469.21,466.53,467.93,65140000
2021-12-07,468.49,471.81,468.25,471.41,69332000
2021-12-08,471.93,474.81,471.49,474.33,73384000
2021-12-09,475.05,475.45,473.37,474.69,68484000
2021-12-10,473.49,475.37,472.29,473.37,73572000
2021-12-13,472.61,476.41,472.45,476.01,68424000
2021-12-14,475.81,476.61,474.49,475.37,72252000
2021-12-15,473.37,476.33,469.97,471.77,117096000
2021-12-16,471.85,476.05,469.37,475.53,117456000
2021-12-17,473.73,475.97,470.05,470.53,210712000
2021-12-20,462.89,469.09,458.93,463.81,134340000
2021-12-21,467.69,474.13,467.61,473.17,99188000
2021-12-22,475.13,477.13,474.65,476.53,82452000
2021-12-23,477.05,478.57,476.37,478.17,61412000
2021-12-27,478.89,480.09,477.97,479.69,56360000
2021-12-28,480.61,481.25,478.73,480.17,58732000
2021-12-29,480.61,481.13,479.17,481.09,56828000
2021-12-30,481.09,481.33,479.25,479.57,56112000
2021-12-31,479.81,480.73,479.13,479.73,56252000
2022-01-03,479.41,480.73,477.53,480.33,67876000
2022-01-04,480.37,481.29,477.41,478.89,80556000
2022-01-05,477.09,478.77,469.85,470.29,116876000
2022-01-06,470.33,472.49,467.93,471.61,88652000
2022-01-07,471.97,473.57,470.45,473.17,77220000
2022-01-10,473.09,475.45,470.85,471.93,80196000
2022-01-11,473.97,475.81,472.89,475.25,67668000
2022-01-12,476.57,477.77,473.97,476.01,72332000
2022-01-13,476.49,477.93,474.93,476.25,71612000
2022-01-14,476.73,477.41,474.37,477.09,71280000
2022-01-18,471.53,473.17,465.09,465.81,104812000
2022-01-19,467.17,468.41,462.93,464.37,100596000
